1	Google.com	12:11	14.60	0.40%	2,207,264
2	Youtube.com	11:50	6.74	16.70%	1,698,475
3	Facebook.com	17:41	7.84	8.20%	3,975,262
4	Google.com.vn	5:08	7.89	5.40%	5,494
5	Vnexpress.net	9:23	5.03	10.30%	8,225
6	Thethao247.vn	5:00	2.47	24.10%	3,131
7	Zing.vn	7:56	4.81	17.20%	7,566
8	Shopee.vn	12:22	8.42	14.90%	281
9	24h.com.vn	7:48	7.09	12.40%	3,902
10	Vtv.vn	2:15	1.99	40.10%	5,414
